User,Tweets,Link to Tweet,Date/Time
@realDonaldTrump,https://t.co/kWxETQoUUN,http://twitter.com/realDonaldTrump/status/1311120728712835073,"September 29, 2020 at 09:48PM"
@realDonaldTrump,https://t.co/w6Vlywaesb,http://twitter.com/realDonaldTrump/status/1311121277315198976,"September 29, 2020 at 09:50PM"
@realDonaldTrump,https://t.co/UwyDwoDQgp,http://twitter.com/realDonaldTrump/status/1311121730966970368,"September 29, 2020 at 09:52PM"
@realDonaldTrump,https://t.co/LnBpKJE9yi,http://twitter.com/realDonaldTrump/status/1311121881295020032,"September 29, 2020 at 09:53PM"
@realDonaldTrump,https://t.co/gF4VmXWFoK,http://twitter.com/realDonaldTrump/status/1311122260904652800,"September 29, 2020 at 09:54PM"
@realDonaldTrump,https://t.co/73kpVWrugh,http://twitter.com/realDonaldTrump/status/1311122868835512321,"September 29, 2020 at 09:57PM"
@realDonaldTrump,"“The Fraternal Order of Police endorsed President Trump’s reelection, saying he has the ‘full and enthusiastic support’ of its more than 355,000 members.” https://t.co/ce8DjFNkHt",http://twitter.com/realDonaldTrump/status/1311123274579861505,"September 29, 2020 at 09:58PM"
@realDonaldTrump,https://t.co/LFOSsWB58M,http://twitter.com/realDonaldTrump/status/1311123460635066368,"September 29, 2020 at 09:59PM"
@realDonaldTrump,The American people want LAW &amp; ORDER — Joe Biden won’t even say those words!,http://twitter.com/realDonaldTrump/status/1311123786163339265,"September 29, 2020 at 10:00PM"
@realDonaldTrump,https://t.co/runkw7pxyv,http://twitter.com/realDonaldTrump/status/1311124313534152709,"September 29, 2020 at 10:02PM"
@realDonaldTrump,https://t.co/WMOXjAY8AY,http://twitter.com/realDonaldTrump/status/1311124746747015168,"September 29, 2020 at 10:04PM"
@realDonaldTrump,https://t.co/EMFDxIuyJs,http://twitter.com/realDonaldTrump/status/1311126533956747266,"September 29, 2020 at 10:11PM"
@realDonaldTrump,Joe Biden could not name a single Law Enforcement group that supports his candidacy!,http://twitter.com/realDonaldTrump/status/1311127502954196993,"September 29, 2020 at 10:15PM"
